Category,ID,Code_Original,Emoji_Code_2nd_Option,Emoji_Name,Emoji_Code_CASI,Emoji_Code_FINAL,Feeling
person-gesture,260,U+1F646,U0001F646,person_gesturing_OK,\\\\U0001F646\\,\'\\U0001f646\,Neutral
person-gesture,261,U+1F646 U+200D U+2642 U+FE0F,U0001F646 U000200D U0002642 U000FE0F,man_gesturing_OK,\\\\U0001F646 \U000200D \U0002642 \U000FE0F\\,\'\\U0001f646 \U000200d \U0002642 \U000fe0f\,Neutral
person-gesture,262,U+1F646 U+200D U+2640 U+FE0F,U0001F646 U000200D U0002640 U000FE0F,woman_gesturing_OK,\\\\U0001F646 \U000200D \U0002640 \U000FE0F\\,\'\\U0001f646 \U000200d \U0002640 \U000fe0f\,Neutral
person-gesture,263,U+1F481,U0001F481,person_tipping_hand,\\\\U0001F481\\,\'\\U0001f481\,Neutral
person-gesture,264,U+1F481 U+200D U+2642 U+FE0F,U0001F481 U000200D U0002642 U000FE0F,man_tipping_hand,\\\\U0001F481 \U000200D \U0002642 \U000FE0F\\,\'\\U0001f481 \U000200d \U0002642 \U000fe0f\,Neutral
person-gesture,265,U+1F481 U+200D U+2640 U+FE0F,U0001F481 U000200D U0002640 U000FE0F,woman_tipping_hand,\\\\U0001F481 \U000200D \U0002640 \U000FE0F\\,\'\\U0001f481 \U000200d \U0002640 \U000fe0f\,Neutral
person-gesture,266,U+1F64B,U0001F64B,person_raising_hand,\\\\U0001F64B\\,\'\\U0001f64b\,Positive
person-gesture,267,U+1F64B U+200D U+2642 U+FE0F,U0001F64B U000200D U0002642 U000FE0F,man_raising_hand,\\\\U0001F64B \U000200D \U0002642 \U000FE0F\\,\'\\U0001f64b \U000200d \U0002642 \U000fe0f\,Positive
person-gesture,268,U+1F64B U+200D U+2640 U+FE0F,U0001F64B U000200D U0002640 U000FE0F,woman_raising_hand,\\\\U0001F64B \U000200D \U0002640 \U000FE0F\\,\'\\U0001f64b \U000200d \U0002640 \U000fe0f\,Positive
person-gesture,269,U+1F9CF,U0001F9CF,deaf_person,\\\\U0001F9CF\\,\'\\U0001f9cf\,Neutral
person-gesture,270,U+1F9CF U+200D U+2642 U+FE0F,U0001F9CF U000200D U0002642 U000FE0F,deaf_man,\\\\U0001F9CF \U000200D \U0002642 \U000FE0F\\,\'\\U0001f9cf \U000200d \U0002642 \U000fe0f\,Neutral
person-gesture,271,U+1F9CF U+200D U+2640 U+FE0F,U0001F9CF U000200D U0002640 U000FE0F,deaf_woman,\\\\U0001F9CF \U000200D \U0002640 \U000FE0F\\,\'\\U0001f9cf \U000200d \U0002640 \U000fe0f\,Neutral
person-gesture,272,U+1F647,U0001F647,person_bowing,\\\\U0001F647\\,\'\\U0001f647\,Neutral
person-gesture,273,U+1F647 U+200D U+2642 U+FE0F,U0001F647 U000200D U0002642 U000FE0F,man_bowing,\\\\U0001F647 \U000200D \U0002642 \U000FE0F\\,\'\\U0001f647 \U000200d \U0002642 \U000fe0f\,Neutral
